epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,222.96,1.01351,1.90632,1.32921,0.19335,1,0.24875,0.09784,1.3617,5.44963,1.91018,0.000216401,0.000216401,0.000216401
33,229.319,1.08883,2.49181,1.3823,0.48266,0.96533,0.4975,0.34825,1.2722,5.09277,1.99197,0.000215836,0.000215836,0.000215836
34,236.264,2.34825,3.18614,2.65945,0.48266,0.96533,0.4975,0.34825,1.2722,5.09277,1.99197,0.0002148,0.0002148,0.0002148
35,246.084,1.10583,0.95657,1.26899,0.4934,1,0.4975,0.21558,1.29914,5.37566,1.82889,0.000213293,0.000213293,0.000213293
36,252.58,1.35799,1.27923,1.54825,0.4934,1,0.4975,0.21558,1.29914,5.37566,1.82889,0.000211313,0.000211313,0.000211313
37,259.911,0.93254,2.32959,1.44038,0.968,1,0.995,0.398,1.85426,6.17924,2.63724,0.000208863,0.000208863,0.000208863
1,8.01268,3.494,15.0774,3.63291,0.00641,1,0.03431,0.01393,1.75455,5.52517,2.80047,0,0,0
2,15.6506,2.73482,4.33979,2.80627,0.00633,1,0.04975,0.02373,1.77167,5.8931,2.7879,1.40542e-05,1.40542e-05,1.40542e-05
3,22.4761,1.8298,6.16402,2.25732,0.00617,1,0.11056,0.05064,1.7598,6.29454,2.72956,2.76369e-05,2.76369e-05,2.76369e-05
4,30.2129,2.2453,5.48032,2.16239,0.00581,1,0.0995,0.0426,1.69414,7.78659,2.63926,4.07479e-05,4.07479e-05,4.07479e-05
5,36.6855,2.0324,3.16768,2.46729,0.01064,1,0.03685,0.01106,1.6403,13.0935,2.54008,5.33874e-05,5.33874e-05,5.33874e-05
